A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
444.0,30.0,female,3,own,little,moderate,5096.0,48,0.0
445.0,41.0,female,1,rent,Missing,Missing,1244.0,9,0.0
446.0,34.0,female,2,own,little,little,1842.0,36,0.0
447.0,35.0,male,2,own,little,moderate,2576.0,7,0.0
448.0,55.0,female,3,own,Missing,rich,1424.0,12,0.0
449.0,61.0,male,2,own,rich,moderate,1512.0,15,0.0
450.0,30.0,male,3,own,Missing,Missing,11054.0,36,0.0
451.0,29.0,female,2,own,little,Missing,518.0,6,0.0
452.0,34.0,male,2,own,little,Missing,2759.0,12,0.0
453.0,35.0,male,3,own,little,Missing,2670.0,24,0.0
454.0,31.0,male,2,own,little,little,4817.0,24,0.0
455.0,29.0,female,3,own,little,Missing,2679.0,24,0.0
456.0,36.0,male,2,rent,little,little,3905.0,11,0.0
457.0,35.0,male,2,free,little,little,3386.0,12,0.0
458.0,27.0,female,2,own,little,little,343.0,6,0.0
459.0,32.0,male,2,own,little,Missing,4594.0,18,0.0
460.0,37.0,male,2,own,little,little,3620.0,36,0.0
461.0,36.0,male,2,own,little,little,1721.0,15,0.0
462.0,34.0,female,3,rent,little,moderate,3017.0,12,0.0
463.0,38.0,male,2,own,Missing,moderate,754.0,12,0.0
464.0,34.0,male,2,own,little,Missing,1950.0,18,0.0
465.0,63.0,male,2,own,little,little,2924.0,24,0.0
466.0,29.0,female,1,rent,little,little,1659.0,24,0.0
467.0,32.0,male,2,own,Missing,Missing,7238.0,48,0.0
468.0,26.0,female,2,own,little,Missing,2764.0,33,0.0
469.0,35.0,male,1,own,little,Missing,4679.0,24,0.0
470.0,22.0,male,2,rent,moderate,moderate,3092.0,24,0.0
471.0,23.0,female,2,own,little,little,448.0,6,0.0
472.0,28.0,male,1,own,little,little,654.0,9,0.0
473.0,36.0,male,3,own,Missing,Missing,1238.0,6,0.0
474.0,33.0,male,2,own,little,moderate,1245.0,18,0.0
475.0,26.0,female,2,rent,little,little,3114.0,18,0.0
476.0,24.0,male,2,own,quite rich,Missing,2569.0,39,0.0
477.0,25.0,male,2,own,little,rich,5152.0,24,0.0
478.0,39.0,male,1,own,moderate,moderate,1037.0,12,0.0
479.0,44.0,male,2,own,little,little,1478.0,15,0.0
480.0,23.0,female,1,own,little,moderate,3573.0,12,0.0
481.0,26.0,male,2,own,little,moderate,1201.0,24,0.0
482.0,57.0,female,2,rent,rich,little,3622.0,30,0.0
483.0,30.0,female,2,own,rich,Missing,960.0,15,0.0
484.0,44.0,male,2,own,quite rich,Missing,1163.0,12,0.0
485.0,47.0,male,3,own,little,moderate,1209.0,6,0.0
486.0,52.0,male,2,own,little,Missing,3077.0,12,0.0
487.0,62.0,female,2,free,little,Missing,3757.0,24,0.0
488.0,35.0,male,1,rent,moderate,Missing,1418.0,10,0.0
489.0,26.0,male,2,rent,little,Missing,3518.0,6,0.0
490.0,26.0,male,2,own,little,Missing,1934.0,12,0.0
491.0,42.0,female,3,free,little,moderate,8318.0,27,0.0
492.0,27.0,female,2,own,moderate,Missing,1237.0,6,0.0
493.0,38.0,male,2,own,Missing,moderate,368.0,6,0.0
494.0,39.0,male,1,rent,little,little,2122.0,12,0.0
495.0,20.0,male,2,own,Missing,little,2996.0,24,0.0
496.0,29.0,male,3,rent,moderate,moderate,9034.0,36,0.0
497.0,40.0,male,2,own,little,Missing,1585.0,24,0.0
498.0,32.0,male,1,own,little,moderate,1301.0,18,0.0
499.0,28.0,male,2,own,moderate,rich,1323.0,6,0.0
500.0,27.0,female,2,own,little,little,3123.0,24,0.0
501.0,42.0,male,2,free,little,little,5493.0,36,0.0
502.0,49.0,male,2,own,moderate,rich,1126.0,9,0.0
503.0,38.0,male,2,own,moderate,moderate,1216.0,24,0.0
504.0,24.0,female,2,rent,little,little,1207.0,24,0.0
505.0,27.0,male,1,own,Missing,Missing,1309.0,10,0.0
506.0,36.0,male,2,own,quite rich,rich,2360.0,15,0.0
507.0,34.0,male,3,own,moderate,moderate,6850.0,15,0.0
508.0,28.0,male,2,own,little,Missing,1413.0,24,0.0
509.0,45.0,male,3,own,moderate,Missing,8588.0,39,0.0
510.0,26.0,male,2,own,little,little,759.0,12,0.0
511.0,32.0,male,3,free,little,Missing,4686.0,36,0.0
512.0,26.0,male,2,rent,little,rich,2687.0,15,0.0
513.0,20.0,male,2,rent,little,moderate,585.0,12,0.0
514.0,54.0,male,2,own,Missing,Missing,2255.0,24,0.0
515.0,37.0,female,2,own,little,little,609.0,6,0.0
516.0,40.0,male,1,own,little,little,1361.0,6,0.0
517.0,23.0,female,2,rent,little,Missing,7127.0,36,0.0
518.0,43.0,male,2,own,moderate,little,1203.0,6,0.0
519.0,36.0,male,2,free,Missing,Missing,700.0,6,0.0
520.0,44.0,male,2,free,little,Missing,5507.0,24,0.0
521.0,24.0,female,2,own,little,little,3190.0,18,0.0
522.0,53.0,male,2,free,little,little,7119.0,48,0.0
523.0,23.0,female,2,own,moderate,Missing,3488.0,24,0.0
524.0,26.0,female,1,own,little,moderate,1113.0,18,0.0
525.0,30.0,male,2,own,little,moderate,7966.0,26,0.0
526.0,31.0,female,2,own,moderate,Missing,1532.0,15,0.0
527.0,42.0,male,1,own,little,Missing,1503.0,4,0.0
528.0,31.0,male,2,rent,little,little,2302.0,36,0.0
529.0,41.0,male,1,own,little,little,662.0,6,0.0
530.0,32.0,male,2,own,little,moderate,2273.0,36,0.0
531.0,28.0,female,2,rent,moderate,moderate,2631.0,15,0.0
532.0,41.0,male,2,rent,little,Missing,1503.0,12,0.0
533.0,26.0,male,2,own,moderate,Missing,1311.0,24,0.0
534.0,25.0,male,2,own,Missing,Missing,3105.0,24,0.0
535.0,33.0,male,2,rent,little,rich,2319.0,21,0.0
536.0,75.0,female,3,own,Missing,little,1374.0,6,0.0
537.0,37.0,female,2,own,little,moderate,3612.0,18,0.0
538.0,42.0,male,3,free,little,little,7763.0,48,0.0
539.0,45.0,female,1,own,little,rich,3049.0,18,0.0
540.0,23.0,male,2,rent,little,moderate,1534.0,12,0.0
541.0,60.0,male,2,free,little,Missing,2032.0,24,0.0
542.0,31.0,male,2,own,Missing,little,6350.0,30,0.0
543.0,34.0,male,1,own,little,rich,2864.0,18,0.0
544.0,61.0,male,1,own,little,Missing,1255.0,12,0.0
545.0,43.0,male,2,free,little,little,1333.0,24,0.0
546.0,37.0,female,2,own,little,Missing,2022.0,24,0.0
547.0,32.0,male,2,own,little,Missing,1552.0,24,0.0
548.0,24.0,female,1,own,little,little,626.0,12,0.0
549.0,35.0,male,2,free,Missing,Missing,8858.0,48,0.0
550.0,23.0,female,2,own,Missing,Missing,996.0,12,0.0
551.0,45.0,male,1,own,quite rich,Missing,1750.0,6,0.0
552.0,34.0,male,2,own,little,little,6999.0,48,0.0
553.0,27.0,male,2,own,moderate,moderate,1995.0,12,0.0
554.0,67.0,female,3,own,little,moderate,1199.0,9,0.0
555.0,22.0,male,2,own,little,moderate,1331.0,12,0.0
556.0,28.0,female,2,own,moderate,moderate,2278.0,18,0.0
557.0,29.0,female,2,own,Missing,Missing,5003.0,21,0.0
558.0,27.0,male,2,own,little,little,3552.0,24,0.0
559.0,31.0,male,1,own,little,moderate,1928.0,18,0.0
560.0,49.0,male,2,free,Missing,little,2964.0,24,0.0
561.0,24.0,male,1,rent,little,little,1546.0,24,0.0
562.0,29.0,female,2,own,little,rich,683.0,6,0.0
563.0,37.0,male,2,free,Missing,moderate,12389.0,36,0.0
564.0,37.0,male,3,own,Missing,moderate,4712.0,24,0.0
565.0,23.0,female,2,rent,moderate,moderate,1553.0,24,0.0
566.0,36.0,male,2,own,little,little,1372.0,12,0.0
567.0,34.0,male,2,own,rich,Missing,2578.0,24,0.0
568.0,41.0,male,2,own,Missing,moderate,3979.0,48,0.0
569.0,31.0,female,2,own,little,little,6758.0,48,0.0
570.0,23.0,female,1,rent,little,little,3234.0,24,0.0
571.0,38.0,male,2,own,little,Missing,5954.0,30,0.0
572.0,26.0,female,3,rent,Missing,Missing,5433.0,24,0.0
573.0,22.0,female,1,own,little,little,806.0,15,0.0
574.0,27.0,male,1,own,little,moderate,1082.0,9,0.0
575.0,24.0,female,2,own,little,Missing,2788.0,15,0.0
576.0,27.0,female,2,own,little,moderate,2930.0,12,0.0
577.0,33.0,female,2,own,Missing,Missing,1927.0,24,0.0
578.0,27.0,male,2,own,little,moderate,2820.0,36,0.0
579.0,27.0,male,1,own,little,Missing,937.0,24,0.0
580.0,30.0,male,2,own,little,moderate,1056.0,18,0.0
581.0,49.0,male,1,own,little,moderate,3124.0,12,0.0
582.0,26.0,female,2,rent,little,Missing,1388.0,9,0.0
583.0,33.0,male,1,rent,little,moderate,2384.0,36,0.0
584.0,52.0,female,3,free,Missing,Missing,2133.0,12,0.0
585.0,20.0,female,2,rent,little,little,2039.0,18,0.0
586.0,36.0,male,2,rent,little,little,2799.0,9,0.0
587.0,21.0,male,1,own,little,little,1289.0,12,0.0
588.0,47.0,male,1,own,little,little,1217.0,18,0.0
589.0,60.0,male,2,own,little,little,2246.0,12,0.0
590.0,58.0,female,1,own,little,little,385.0,12,0.0
591.0,42.0,female,2,rent,Missing,moderate,1965.0,24,0.0
592.0,36.0,female,1,own,rich,Missing,1572.0,21,0.0
593.0,20.0,female,1,rent,little,moderate,2718.0,24,0.0
594.0,40.0,male,3,own,Missing,little,1358.0,24,0.0
595.0,32.0,female,1,own,moderate,moderate,931.0,6,0.0
596.0,23.0,female,2,rent,little,little,1442.0,24,0.0
597.0,36.0,male,1,own,little,moderate,4241.0,24,0.0
598.0,31.0,male,2,own,little,Missing,2775.0,18,0.0
599.0,32.0,male,2,free,little,Missing,3863.0,24,0.0
600.0,45.0,female,2,own,little,moderate,2329.0,7,0.0
601.0,30.0,female,2,own,little,moderate,918.0,9,0.0
602.0,34.0,female,1,free,little,moderate,1837.0,24,0.0
603.0,28.0,female,3,own,little,Missing,3349.0,36,0.0
604.0,23.0,female,2,own,little,rich,1275.0,10,0.0
605.0,22.0,male,2,own,quite rich,little,2828.0,24,0.0
606.0,74.0,male,3,own,little,Missing,4526.0,24,0.0
607.0,50.0,female,2,free,moderate,moderate,2671.0,36,0.0
608.0,33.0,male,2,own,little,Missing,2051.0,18,0.0
609.0,45.0,male,2,free,Missing,Missing,1300.0,15,0.0
610.0,22.0,female,2,own,moderate,little,741.0,12,0.0
611.0,48.0,female,1,free,moderate,rich,1240.0,10,0.0
612.0,29.0,female,2,own,rich,little,3357.0,21,0.0
613.0,22.0,female,2,rent,little,little,3632.0,24,0.0
614.0,22.0,female,2,own,little,Missing,1808.0,18,0.0
615.0,48.0,male,3,own,Missing,moderate,12204.0,48,0.0
616.0,27.0,male,3,free,Missing,moderate,9157.0,60,0.0
617.0,37.0,male,2,rent,little,little,3676.0,6,0.0
618.0,21.0,female,2,rent,moderate,moderate,3441.0,30,0.0
619.0,49.0,male,1,own,little,Missing,640.0,12,0.0
620.0,27.0,male,2,own,little,moderate,3652.0,21,0.0
621.0,32.0,male,2,own,little,Missing,1530.0,18,0.0
622.0,38.0,male,2,own,Missing,Missing,3914.0,48,0.0
623.0,22.0,female,2,rent,little,little,1858.0,12,0.0
624.0,65.0,male,2,free,little,little,2600.0,18,0.0
625.0,35.0,male,2,own,Missing,Missing,1979.0,15,0.0
626.0,41.0,male,2,own,little,rich,2116.0,6,0.0
627.0,29.0,male,2,own,moderate,moderate,1437.0,9,0.0
628.0,36.0,male,2,own,quite rich,Missing,4042.0,42,0.0
629.0,64.0,male,1,own,Missing,Missing,3832.0,9,0.0
630.0,28.0,female,2,own,little,little,3660.0,24,0.0
631.0,44.0,male,2,own,little,little,1553.0,18,0.0
632.0,23.0,male,2,own,Missing,moderate,1444.0,15,0.0
633.0,19.0,female,2,rent,little,Missing,1980.0,9,0.0
634.0,25.0,female,1,own,little,moderate,1355.0,24,0.0
635.0,47.0,male,2,own,little,Missing,1393.0,12,0.0
636.0,28.0,female,2,own,quite rich,Missing,1376.0,24,0.0
637.0,21.0,male,2,own,little,Missing,15653.0,60,0.0
638.0,34.0,female,2,own,little,Missing,1493.0,12,0.0
639.0,26.0,male,2,own,little,little,4370.0,42,0.0
640.0,27.0,female,0,own,little,little,750.0,18,0.0
641.0,38.0,male,1,own,little,moderate,1308.0,15,0.0
642.0,40.0,male,3,own,moderate,Missing,4623.0,15,0.0
643.0,33.0,male,2,own,little,Missing,1851.0,24,0.0
644.0,32.0,male,3,own,little,little,1880.0,18,0.0
645.0,27.0,male,2,rent,Missing,Missing,7980.0,36,0.0
646.0,32.0,male,2,own,little,little,4583.0,30,0.0
647.0,26.0,female,2,own,quite rich,Missing,1386.0,12,0.0
648.0,38.0,male,2,free,little,rich,947.0,24,0.0
649.0,40.0,male,1,rent,little,little,684.0,12,0.0
650.0,50.0,male,3,free,little,little,7476.0,48,0.0
651.0,37.0,male,1,own,little,moderate,1922.0,12,0.0
652.0,45.0,male,2,own,little,little,2303.0,24,0.0
653.0,42.0,male,3,own,moderate,moderate,8086.0,36,0.0
654.0,35.0,male,2,own,little,Missing,2346.0,24,0.0
655.0,22.0,male,2,free,little,little,3973.0,14,0.0
656.0,41.0,male,1,own,little,moderate,888.0,12,0.0
657.0,37.0,male,2,own,Missing,Missing,10222.0,48,0.0
658.0,28.0,female,2,own,little,moderate,4221.0,30,0.0
659.0,41.0,male,2,own,little,moderate,6361.0,18,0.0
660.0,23.0,male,2,rent,little,rich,1297.0,12,0.0
661.0,23.0,male,2,own,Missing,little,900.0,12,0.0
662.0,50.0,male,2,own,little,Missing,2241.0,21,0.0
663.0,35.0,male,3,own,little,moderate,1050.0,6,0.0
664.0,50.0,female,1,own,little,rich,1047.0,6,0.0
665.0,27.0,male,3,own,little,Missing,6314.0,24,0.0
666.0,34.0,male,2,own,rich,moderate,3496.0,30,0.0
667.0,27.0,female,2,own,little,Missing,3609.0,48,0.0
668.0,43.0,male,2,rent,little,little,4843.0,12,0.0
669.0,47.0,male,2,own,little,rich,3017.0,30,0.0
670.0,27.0,male,1,own,moderate,Missing,4139.0,24,0.0
671.0,31.0,male,2,own,moderate,Missing,5742.0,36,0.0
672.0,42.0,male,3,own,little,Missing,10366.0,60,0.0
673.0,24.0,male,2,own,quite rich,Missing,2080.0,6,0.0
674.0,41.0,male,1,own,quite rich,Missing,2580.0,21,0.0
675.0,26.0,female,3,rent,little,Missing,4530.0,30,0.0
676.0,33.0,male,2,own,little,Missing,5150.0,24,0.0
677.0,24.0,male,2,own,moderate,moderate,5595.0,72,0.0
678.0,64.0,male,1,rent,little,little,2384.0,24,0.0
679.0,26.0,female,2,own,little,Missing,1453.0,18,0.0
680.0,56.0,female,2,own,little,Missing,1538.0,6,0.0
681.0,37.0,male,2,free,Missing,Missing,2279.0,12,0.0
682.0,33.0,male,2,own,little,Missing,1478.0,15,0.0
683.0,47.0,male,2,free,little,Missing,5103.0,24,0.0
684.0,31.0,male,1,own,moderate,moderate,9857.0,36,0.0
685.0,34.0,male,2,free,Missing,Missing,6527.0,60,0.0
686.0,27.0,male,2,own,Missing,rich,1347.0,10,0.0
687.0,30.0,male,2,free,moderate,moderate,2862.0,36,0.0
688.0,35.0,male,2,own,moderate,Missing,2753.0,9,0.0
689.0,31.0,male,2,own,rich,little,3651.0,12,0.0
690.0,25.0,male,2,own,little,little,975.0,15,0.0
691.0,25.0,female,1,own,moderate,moderate,2631.0,15,0.0
692.0,29.0,male,2,own,moderate,moderate,2896.0,24,0.0
693.0,44.0,male,1,own,Missing,little,4716.0,6,0.0
694.0,28.0,male,2,own,little,Missing,2284.0,24,0.0
695.0,50.0,male,2,rent,quite rich,Missing,1236.0,6,0.0
696.0,29.0,male,2,own,little,moderate,1103.0,12,0.0
697.0,38.0,female,0,own,little,Missing,926.0,12,0.0
698.0,24.0,male,2,own,little,Missing,1800.0,18,0.0
699.0,40.0,male,3,rent,little,rich,1905.0,15,0.0
700.0,29.0,female,1,rent,quite rich,Missing,1123.0,12,0.0
701.0,46.0,male,2,free,little,little,6331.0,48,0.0
702.0,47.0,female,2,free,moderate,rich,1377.0,24,0.0
703.0,41.0,male,2,own,moderate,moderate,2503.0,30,0.0
704.0,32.0,female,2,own,little,moderate,2528.0,27,0.0
705.0,35.0,female,2,free,quite rich,Missing,5324.0,15,0.0
706.0,24.0,male,2,own,moderate,moderate,6560.0,48,0.0
707.0,25.0,female,2,rent,little,moderate,2969.0,12,0.0
708.0,25.0,female,2,own,little,moderate,1206.0,9,0.0
709.0,37.0,male,1,own,little,moderate,2118.0,9,0.0
710.0,32.0,male,3,own,quite rich,Missing,629.0,18,0.0
711.0,35.0,female,2,free,little,little,1198.0,6,0.0
712.0,46.0,male,3,own,Missing,Missing,2476.0,21,0.0
713.0,25.0,male,1,own,little,little,1138.0,9,0.0
714.0,27.0,male,3,own,little,moderate,14027.0,60,0.0
715.0,63.0,male,2,own,Missing,Missing,7596.0,30,0.0
716.0,40.0,male,2,own,Missing,Missing,3077.0,30,0.0
717.0,32.0,male,3,free,little,Missing,1505.0,18,0.0
718.0,31.0,male,2,own,Missing,rich,3148.0,24,0.0
719.0,31.0,male,2,own,moderate,moderate,6148.0,20,0.0
720.0,34.0,male,3,own,little,rich,1337.0,9,0.0
721.0,24.0,female,2,rent,rich,moderate,433.0,6,0.0
722.0,24.0,female,1,own,little,little,1228.0,12,0.0
723.0,66.0,female,1,own,quite rich,moderate,790.0,9,0.0
724.0,21.0,female,2,rent,little,Missing,2570.0,27,0.0
725.0,41.0,female,1,own,rich,Missing,250.0,6,0.0
726.0,47.0,male,1,own,quite rich,Missing,1316.0,15,0.0
727.0,25.0,female,2,rent,little,little,1882.0,18,0.0
728.0,59.0,female,2,rent,little,moderate,6416.0,48,0.0
729.0,36.0,male,2,own,rich,rich,1275.0,24,0.0
730.0,33.0,male,2,own,little,moderate,6403.0,24,0.0
731.0,21.0,male,1,rent,little,little,1987.0,24,0.0
732.0,44.0,female,1,own,little,moderate,760.0,8,0.0
733.0,28.0,female,2,rent,rich,Missing,2603.0,24,0.0
734.0,37.0,female,2,own,little,Missing,3380.0,4,0.0
735.0,29.0,female,0,own,Missing,moderate,3990.0,36,0.0
736.0,23.0,female,3,rent,little,moderate,11560.0,24,0.0
737.0,35.0,male,1,own,moderate,little,4380.0,18,0.0
738.0,45.0,male,3,own,little,Missing,6761.0,6,0.0
739.0,26.0,female,1,rent,moderate,moderate,4280.0,30,0.0
740.0,32.0,male,2,own,moderate,little,2325.0,24,0.0
741.0,23.0,male,1,own,little,moderate,1048.0,10,0.0
742.0,41.0,male,2,own,Missing,Missing,3160.0,21,0.0
743.0,22.0,male,2,own,quite rich,little,2483.0,24,0.0
744.0,30.0,male,3,own,Missing,little,14179.0,39,0.0
745.0,28.0,male,1,own,little,little,1797.0,13,0.0
746.0,23.0,female,2,rent,little,little,2511.0,15,0.0
747.0,37.0,female,1,own,little,little,1274.0,12,0.0
748.0,26.0,male,2,own,Missing,Missing,5248.0,21,0.0
749.0,33.0,male,2,own,little,Missing,3029.0,15,0.0
750.0,49.0,female,2,own,little,little,428.0,6,0.0
751.0,23.0,female,1,own,little,little,976.0,18,0.0
752.0,23.0,female,1,rent,moderate,moderate,841.0,12,0.0
753.0,25.0,female,2,own,little,Missing,5771.0,30,0.0
754.0,55.0,male,2,free,rich,Missing,1555.0,12,0.0
755.0,32.0,female,2,rent,Missing,little,1285.0,24,0.0
756.0,74.0,male,0,own,little,rich,1299.0,6,0.0
757.0,39.0,male,2,free,Missing,rich,1271.0,15,0.0
758.0,31.0,male,2,own,little,Missing,1393.0,24,0.0
759.0,35.0,male,2,own,little,little,691.0,12,0.0
760.0,59.0,female,2,own,Missing,Missing,5045.0,15,0.0
761.0,24.0,female,2,rent,little,little,2124.0,18,0.0
762.0,24.0,male,1,own,little,little,2214.0,12,0.0
763.0,30.0,male,3,free,Missing,Missing,12680.0,21,0.0
764.0,27.0,male,2,own,moderate,Missing,2463.0,24,0.0
765.0,40.0,male,1,own,little,moderate,1155.0,12,0.0
766.0,31.0,male,1,own,little,little,3108.0,30,0.0
767.0,31.0,female,2,rent,Missing,Missing,2901.0,10,0.0
768.0,28.0,male,2,rent,little,moderate,3617.0,12,0.0
769.0,63.0,male,1,own,little,Missing,1655.0,12,0.0
770.0,26.0,female,2,rent,Missing,little,2812.0,24,0.0
771.0,25.0,female,3,own,little,little,8065.0,36,0.0
772.0,36.0,male,3,own,little,Missing,3275.0,21,0.0
773.0,52.0,male,2,own,moderate,Missing,2223.0,24,0.0
774.0,66.0,male,0,free,quite rich,rich,1480.0,12,0.0
775.0,25.0,female,2,rent,Missing,little,1371.0,24,0.0
776.0,37.0,male,2,own,little,Missing,3535.0,36,0.0
777.0,25.0,female,2,own,little,little,3509.0,18,0.0
778.0,38.0,male,3,own,rich,Missing,5711.0,36,0.0
779.0,67.0,female,2,own,little,moderate,3872.0,18,0.0
780.0,25.0,male,2,own,little,moderate,4933.0,39,0.0
781.0,60.0,male,2,own,rich,Missing,1940.0,24,0.0
782.0,31.0,male,1,own,little,moderate,1410.0,12,0.0
783.0,23.0,female,1,own,moderate,moderate,836.0,12,0.0
784.0,60.0,male,3,own,Missing,moderate,6468.0,20,0.0
785.0,35.0,male,1,own,rich,moderate,1941.0,18,0.0
786.0,40.0,male,2,own,quite rich,Missing,2675.0,22,0.0
787.0,38.0,male,2,own,Missing,Missing,2751.0,48,0.0
788.0,50.0,male,2,free,little,moderate,6224.0,48,0.0
789.0,27.0,male,2,own,little,little,5998.0,40,0.0
790.0,39.0,female,2,own,little,moderate,1188.0,21,0.0
791.0,41.0,male,3,own,Missing,Missing,6313.0,24,0.0
792.0,27.0,male,2,own,Missing,Missing,1221.0,6,0.0
793.0,51.0,male,2,free,little,rich,2892.0,24,0.0
794.0,32.0,male,2,rent,quite rich,Missing,3062.0,24,0.0
795.0,22.0,female,2,rent,moderate,Missing,2301.0,9,0.0
796.0,51.0,male,2,free,Missing,little,7511.0,18,0.0
797.0,22.0,female,1,rent,little,Missing,1258.0,12,0.0
798.0,54.0,male,2,own,Missing,Missing,717.0,24,0.0
799.0,35.0,male,0,own,Missing,moderate,1549.0,9,0.0
800.0,54.0,male,2,free,little,Missing,1597.0,24,0.0
801.0,48.0,female,1,rent,little,moderate,1795.0,18,0.0
802.0,24.0,female,2,own,little,little,4272.0,20,0.0
803.0,35.0,male,2,own,Missing,Missing,976.0,12,0.0
804.0,24.0,female,0,rent,Missing,moderate,7472.0,12,0.0
805.0,24.0,male,2,own,little,little,9271.0,36,0.0
806.0,26.0,male,1,own,little,moderate,590.0,6,0.0
807.0,65.0,male,2,own,Missing,Missing,930.0,12,0.0
808.0,55.0,male,3,free,little,moderate,9283.0,42,0.0
809.0,26.0,female,0,rent,little,moderate,1778.0,15,0.0
810.0,26.0,male,2,own,little,moderate,907.0,8,0.0
811.0,28.0,male,1,own,little,moderate,484.0,6,0.0
812.0,24.0,male,2,own,little,little,9629.0,36,0.0
813.0,54.0,male,2,own,little,little,3051.0,48,0.0
814.0,46.0,male,2,free,little,little,3931.0,48,0.0
815.0,54.0,female,2,rent,little,moderate,7432.0,36,0.0
816.0,62.0,male,2,own,quite rich,Missing,1338.0,6,0.0
817.0,24.0,female,2,rent,little,Missing,1554.0,6,0.0
818.0,43.0,male,3,own,little,little,15857.0,36,0.0
819.0,26.0,male,2,own,little,little,1345.0,18,0.0
820.0,27.0,male,2,own,little,Missing,1101.0,12,0.0
821.0,24.0,male,2,own,little,rich,3016.0,12,0.0
822.0,41.0,male,2,own,little,little,2712.0,36,0.0
823.0,47.0,male,1,own,little,little,731.0,8,0.0
824.0,35.0,male,3,own,little,Missing,3780.0,18,0.0
825.0,30.0,male,2,own,little,little,1602.0,21,0.0
826.0,33.0,female,2,rent,little,little,3966.0,18,0.0
827.0,36.0,male,2,own,little,Missing,4165.0,18,0.0
828.0,47.0,male,2,free,Missing,little,8335.0,36,0.0
829.0,38.0,male,2,free,Missing,moderate,6681.0,48,0.0
830.0,44.0,male,2,own,quite rich,Missing,2375.0,24,0.0
831.0,23.0,female,2,rent,little,little,1216.0,18,0.0
832.0,29.0,male,2,rent,little,little,11816.0,45,0.0
833.0,42.0,female,2,own,Missing,moderate,5084.0,24,0.0
834.0,25.0,female,1,own,little,rich,2327.0,15,0.0
835.0,48.0,male,2,own,little,little,1082.0,12,0.0
836.0,21.0,female,2,own,Missing,Missing,886.0,12,0.0
837.0,23.0,female,1,rent,little,Missing,601.0,4,0.0
838.0,63.0,male,2,own,little,little,2957.0,24,0.0
839.0,46.0,male,2,own,little,Missing,2611.0,24,0.0
840.0,29.0,male,2,own,little,little,5179.0,36,0.0
841.0,28.0,male,1,own,little,Missing,2993.0,21,0.0
842.0,23.0,female,2,own,little,Missing,1943.0,18,0.0
843.0,50.0,male,2,own,little,Missing,1559.0,24,0.0
844.0,47.0,male,2,own,little,Missing,3422.0,18,0.0
845.0,35.0,male,2,own,Missing,moderate,3976.0,21,0.0
846.0,68.0,male,2,rent,Missing,Missing,6761.0,18,0.0
847.0,28.0,male,2,own,little,Missing,1249.0,24,0.0
848.0,59.0,male,2,own,little,little,1364.0,9,0.0
849.0,57.0,male,1,own,little,little,709.0,12,0.0
850.0,33.0,male,2,rent,little,little,2235.0,20,0.0
851.0,43.0,male,2,own,Missing,Missing,4042.0,24,0.0
852.0,35.0,male,2,free,little,Missing,1471.0,15,0.0
853.0,32.0,male,1,free,little,little,1442.0,18,0.0
854.0,45.0,male,2,own,little,Missing,10875.0,36,0.0
855.0,33.0,male,2,own,moderate,Missing,1474.0,24,0.0
856.0,40.0,female,2,own,Missing,Missing,894.0,10,0.0
857.0,28.0,male,2,free,little,Missing,3343.0,15,0.0
858.0,29.0,female,2,own,little,little,3959.0,15,0.0
859.0,26.0,male,2,rent,moderate,Missing,3577.0,9,0.0
860.0,27.0,male,2,own,rich,Missing,5804.0,24,0.0
861.0,28.0,male,2,own,little,Missing,2169.0,18,0.0
862.0,35.0,female,2,own,little,little,2439.0,24,0.0
863.0,32.0,male,1,own,rich,Missing,4526.0,27,0.0
864.0,25.0,male,1,rent,little,Missing,2210.0,10,0.0
865.0,20.0,female,2,rent,quite rich,Missing,2221.0,15,0.0
866.0,27.0,female,2,own,little,little,2389.0,18,0.0
867.0,42.0,male,2,own,little,Missing,3331.0,12,0.0
868.0,37.0,male,2,own,Missing,Missing,7409.0,36,0.0
869.0,24.0,female,2,rent,little,little,652.0,12,0.0
870.0,40.0,female,2,own,quite rich,Missing,7678.0,36,0.0
871.0,46.0,male,2,own,little,rich,1343.0,6,0.0
872.0,26.0,male,2,own,moderate,little,1382.0,24,0.0
873.0,24.0,female,2,own,Missing,Missing,874.0,15,0.0
874.0,29.0,male,1,own,little,little,3590.0,12,0.0
875.0,40.0,female,2,own,rich,moderate,1322.0,11,0.0
876.0,36.0,male,3,free,little,little,1940.0,18,0.0
877.0,28.0,male,2,own,little,Missing,3595.0,36,0.0
878.0,27.0,male,3,free,little,little,1422.0,9,0.0
879.0,36.0,male,2,own,Missing,Missing,6742.0,30,0.0
880.0,38.0,male,3,own,little,Missing,7814.0,24,0.0
881.0,48.0,male,2,free,Missing,Missing,9277.0,24,0.0
882.0,36.0,male,2,own,Missing,moderate,2181.0,30,0.0
883.0,65.0,female,0,own,little,Missing,1098.0,18,0.0
884.0,43.0,male,2,own,little,moderate,4057.0,24,0.0
885.0,53.0,female,2,own,little,little,795.0,12,0.0
886.0,34.0,male,2,own,Missing,moderate,2825.0,24,0.0
887.0,23.0,male,2,own,little,moderate,15672.0,48,0.0
888.0,34.0,male,3,own,little,Missing,6614.0,36,0.0
889.0,40.0,male,2,rent,Missing,Missing,7824.0,28,0.0
890.0,43.0,male,3,own,little,little,2442.0,27,0.0
